date,month,year,slug,category,avg_daily_cost,visitors
2022-01-01,1,2022,sylhet,nature,2500,602
2022-02-01,2,2022,sylhet,nature,2500,541
2022-03-01,3,2022,sylhet,nature,2500,694
2022-04-01,4,2022,sylhet,nature,2500,1599
2022-05-01,5,2022,sylhet,nature,2500,1711
2022-06-01,6,2022,sylhet,nature,2500,1050
2022-07-01,7,2022,sylhet,nature,2500,1255
2022-08-01,8,2022,sylhet,nature,2500,735
2022-09-01,9,2022,sylhet,nature,2500,1101
2022-10-01,10,2022,sylhet,nature,2500,1546
2022-11-01,11,2022,sylhet,nature,2500,2537
2022-12-01,12,2022,sylhet,nature,2500,2654
2023-01-01,1,2023,sylhet,nature,2500,521
2023-02-01,2,2023,sylhet,nature,2500,592
2023-03-01,3,2023,sylhet,nature,2500,588
2023-04-01,4,2023,sylhet,nature,2500,1492
2023-05-01,5,2023,sylhet,nature,2500,1641
2023-06-01,6,2023,sylhet,nature,2500,1076
2023-07-01,7,2023,sylhet,nature,2500,1181
2023-08-01,8,2023,sylhet,nature,2500,988
2023-09-01,9,2023,sylhet,nature,2500,1075
2023-10-01,10,2023,sylhet,nature,2500,1708
2023-11-01,11,2023,sylhet,nature,2500,2205
2023-12-01,12,2023,sylhet,nature,2500,2301
2024-01-01,1,2024,sylhet,nature,2500,642
2024-02-01,2,2024,sylhet,nature,2500,420
2024-03-01,3,2024,sylhet,nature,2500,500
2024-04-01,4,2024,sylhet,nature,2500,1427
2024-05-01,5,2024,sylhet,nature,2500,1729
2024-06-01,6,2024,sylhet,nature,2500,1108
2024-07-01,7,2024,sylhet,nature,2500,922
2024-08-01,8,2024,sylhet,nature,2500,1054
2024-09-01,9,2024,sylhet,nature,2500,987
2024-10-01,10,2024,sylhet,nature,2500,1534
2024-11-01,11,2024,sylhet,nature,2500,1869
2024-12-01,12,2024,sylhet,nature,2500,2641
2025-01-01,1,2025,sylhet,nature,2500,460
2025-02-01,2,2025,sylhet,nature,2500,513
2025-03-01,3,2025,sylhet,nature,2500,688
2025-04-01,4,2025,sylhet,nature,2500,1326
2025-05-01,5,2025,sylhet,nature,2500,1787
2025-06-01,6,2025,sylhet,nature,2500,1131
2025-07-01,7,2025,sylhet,nature,2500,1015
2025-08-01,8,2025,sylhet,nature,2500,719
2025-09-01,9,2025,sylhet,nature,2500,983
2025-10-01,10,2025,sylhet,nature,2500,1453
2025-11-01,11,2025,sylhet,nature,2500,2159
2025-12-01,12,2025,sylhet,nature,2500,2333
